PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
DC-I-15036,GREGORY L. ROHDE,LYAEUS IMPORTS,222 10TH ST SE,WASHINGTON,DC,20003,2117,DISTRICT OF COLUMBIA
DC-I-15037,DOREEN LOIS BROOMFIELD AND DIANA M. BROOMFIELD,DDS DISTRIBUTION,1002 RIDGE RD SE,WASHINGTON,DC,20019,3014,DISTRICT OF COLUMBIA
DC-I-15038,PARADIS GROUP LLC, ,3718 MORRISON ST NW,WASHINGTON,DC,20015,1734,DISTRICT OF COLUMBIA
DC-I-15042,NICHOLAS G. KARAMBELAS & JULIE WEISMAN,FERMENTAL G.P.,2938 UPTON ST NW,WASHINGTON,DC,20008,1151,DISTRICT OF COLUMBIA
DC-I-15043,"PARTNERS IN WINE, L.L.C.", ,1008 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003,2142,DISTRICT OF COLUMBIA
DC-I-15044,ART OF WINE & ART DU VIN LLC,ART OF WINE & ART DU VIN,1455 CORCORAN ST NW,WASHINGTON,DC,20009,3803,DISTRICT OF COLUMBIA
DC-I-15047,"SJ, INC.",Pearson's Liquor Annex,2436 WISCONSIN AVE NW,WASHINGTON,DC,20007,1845,DISTRICT OF COLUMBIA
DC-I-15048,UCUPACHA TRADE LLC, ,53 CRITTENDEN ST NE,WASHINGTON,DC,20011,6719,DISTRICT OF COLUMBIA
DC-I-15049,"ENTERPRISE IMPORTS, L.L.C.", ,2020 K ST NW,WASHINGTON,DC,20006,1814,DISTRICT OF COLUMBIA
DC-I-15050,"DC WINE CELLARS, LLC", ,1008 PENNSYLVANIA  AVE SE,WASHINGTON,DC,20003,2142,DISTRICT OF COLUMBIA
DC-I-15051,"BEST WINE CELLARS, L.L.C.", ,1008 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003,2142,DISTRICT OF COLUMBIA
DC-I-15053,"SOUTHERN WINE & SPIRITS-F.P. WINNER OF MARYLAND, LLC",SOUTHERN WINE & SPIRITS- F.P. WINNER OF MARYLAND & D.C.,3125-3145 NE V ST,WASHINGTON,DC,20018,1522,DISTRICT OF COLUMBIA
DC-I-15054,FREDERICK P WINNER LTD, ,3125 V ST NE,WASHINGTON,DC,20018,1522,DISTRICT OF COLUMBIA
DC-I-15055,DANIELE CATALANI,CATALANI WINES,605 2ND ST SE,WASHINGTON,DC,20002,4909,DISTRICT OF COLUMBIA
DC-I-15056,DESABER LLC,DESABER,455 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,2742,DISTRICT OF COLUMBIA
